date,season_year,season_type,week
2013-01-05,2012,Post Season,1
2013-01-06,2012,Post Season,1
2013-01-12,2012,Post Season,2
2013-01-13,2012,Post Season,2
2013-01-20,2012,Post Season,3
2013-02-03,2012,Post Season,5
2013-09-06,2013,Regular Season,1
2013-09-08,2013,Regular Season,1
2013-09-09,2013,Regular Season,1
2013-09-10,2013,Regular Season,1
2013-09-13,2013,Regular Season,2
2013-09-15,2013,Regular Season,2
2013-09-16,2013,Regular Season,2
2013-09-17,2013,Regular Season,2
2013-09-20,2013,Regular Season,3
2013-09-22,2013,Regular Season,3
2013-09-23,2013,Regular Season,3
2013-09-24,2013,Regular Season,3
2013-09-27,2013,Regular Season,4
2013-09-29,2013,Regular Season,4
2013-09-30,2013,Regular Season,4
2013-10-01,2013,Regular Season,4
2013-10-04,2013,Regular Season,5
2013-10-06,2013,Regular Season,5
2013-10-07,2013,Regular Season,5
2013-10-08,2013,Regular Season,5
2013-10-11,2013,Regular Season,6
2013-10-13,2013,Regular Season,6
2013-10-14,2013,Regular Season,6
2013-10-15,2013,Regular Season,6
2013-10-18,2013,Regular Season,7
2013-10-20,2013,Regular Season,7
2013-10-21,2013,Regular Season,7
2013-10-22,2013,Regular Season,7
2013-10-25,2013,Regular Season,8
2013-10-27,2013,Regular Season,8
2013-10-28,2013,Regular Season,8
2013-10-29,2013,Regular Season,8
2013-11-01,2013,Regular Season,9
2013-11-03,2013,Regular Season,9
2013-11-04,2013,Regular Season,9
2013-11-05,2013,Regular Season,9
2013-11-08,2013,Regular Season,10
2013-11-10,2013,Regular Season,10
2013-11-11,2013,Regular Season,10
2013-11-12,2013,Regular Season,10
2013-11-15,2013,Regular Season,11
2013-11-17,2013,Regular Season,11
2013-11-18,2013,Regular Season,11
2013-11-19,2013,Regular Season,11
2013-11-22,2013,Regular Season,12
2013-11-24,2013,Regular Season,12
2013-11-25,2013,Regular Season,12
2013-11-26,2013,Regular Season,12
2013-11-28,2013,Regular Season,13
2013-11-29,2013,Regular Season,13
2013-12-01,2013,Regular Season,13
2013-12-02,2013,Regular Season,13
2013-12-03,2013,Regular Season,13
2013-12-06,2013,Regular Season,14
2013-12-08,2013,Regular Season,14
2013-12-09,2013,Regular Season,14
2013-12-10,2013,Regular Season,14
2013-12-13,2013,Regular Season,15
2013-12-15,2013,Regular Season,15
2013-12-16,2013,Regular Season,15
2013-12-17,2013,Regular Season,15
2013-12-22,2013,Regular Season,16
2013-12-23,2013,Regular Season,16
2013-12-24,2013,Regular Season,16
2013-12-29,2013,Regular Season,17
2013-12-30,2013,Regular Season,17
2014-01-04,2013,Post Season,1
2014-01-05,2013,Post Season,1
2014-01-11,2013,Post Season,2
2014-01-12,2013,Post Season,2
2014-01-19,2013,Post Season,3
2014-02-02,2013,Post Season,5
2014-09-05,2014,Regular Season,1
2014-09-07,2014,Regular Season,1
2014-09-08,2014,Regular Season,1
2014-09-09,2014,Regular Season,1
2014-09-12,2014,Regular Season,2
2014-09-14,2014,Regular Season,2
2014-09-15,2014,Regular Season,2
2014-09-16,2014,Regular Season,2
2014-09-19,2014,Regular Season,3
2014-09-21,2014,Regular Season,3
2014-09-22,2014,Regular Season,3
2014-09-23,2014,Regular Season,3
2014-09-26,2014,Regular Season,4
2014-09-28,2014,Regular Season,4
2014-09-29,2014,Regular Season,4
2014-09-30,2014,Regular Season,4
2014-10-03,2014,Regular Season,5
2014-10-05,2014,Regular Season,5
2014-10-06,2014,Regular Season,5
2014-10-07,2014,Regular Season,5
2014-10-10,2014,Regular Season,6
2014-10-12,2014,Regular Season,6
2014-10-13,2014,Regular Season,6
2014-10-14,2014,Regular Season,6
2014-10-17,2014,Regular Season,7
2014-10-19,2014,Regular Season,7
2014-10-20,2014,Regular Season,7
2014-10-21,2014,Regular Season,7
2014-10-24,2014,Regular Season,8
2014-10-26,2014,Regular Season,8
2014-10-27,2014,Regular Season,8
2014-10-28,2014,Regular Season,8
2014-10-31,2014,Regular Season,9
2014-11-02,2014,Regular Season,9
2014-11-03,2014,Regular Season,9
2014-11-04,2014,Regular Season,9
2014-11-07,2014,Regular Season,10
2014-11-09,2014,Regular Season,10
2014-11-10,2014,Regular Season,10
2014-11-11,2014,Regular Season,10
2014-11-14,2014,Regular Season,11
2014-11-16,2014,Regular Season,11
2014-11-17,2014,Regular Season,11
2014-11-18,2014,Regular Season,11
2014-11-21,2014,Regular Season,12
2014-11-23,2014,Regular Season,12
2014-11-24,2014,Regular Season,12
2014-11-25,2014,Regular Season,12
2014-11-27,2014,Regular Season,13
2014-11-28,2014,Regular Season,13
2014-11-30,2014,Regular Season,13
2014-12-01,2014,Regular Season,13
2014-12-02,2014,Regular Season,13
2014-12-05,2014,Regular Season,14
2014-12-07,2014,Regular Season,14
2014-12-08,2014,Regular Season,14
2014-12-09,2014,Regular Season,14
2014-12-12,2014,Regular Season,15
2014-12-14,2014,Regular Season,15
2014-12-15,2014,Regular Season,15
2014-12-16,2014,Regular Season,15
2014-12-19,2014,Regular Season,16
2014-12-20,2014,Regular Season,16
2014-12-21,2014,Regular Season,16
2014-12-22,2014,Regular Season,16
2014-12-23,2014,Regular Season,16
2014-12-28,2014,Regular Season,17
2014-12-29,2014,Regular Season,17
2015-01-03,2014,Post Season,1
2015-01-04,2014,Post Season,1
2015-01-10,2014,Post Season,2
2015-01-11,2014,Post Season,2
2015-01-18,2014,Post Season,3
2015-02-01,2014,Post Season,5
2015-09-11,2015,Regular Season,1
2015-09-13,2015,Regular Season,1
2015-09-14,2015,Regular Season,1
2015-09-15,2015,Regular Season,1
2015-09-18,2015,Regular Season,2
2015-09-20,2015,Regular Season,2
2015-09-21,2015,Regular Season,2
2015-09-22,2015,Regular Season,2
2015-09-25,2015,Regular Season,3
2015-09-27,2015,Regular Season,3
2015-09-28,2015,Regular Season,3
2015-09-29,2015,Regular Season,3
2015-10-02,2015,Regular Season,4
2015-10-04,2015,Regular Season,4
2015-10-05,2015,Regular Season,4
2015-10-06,2015,Regular Season,4
2015-10-09,2015,Regular Season,5
2015-10-11,2015,Regular Season,5
2015-10-12,2015,Regular Season,5
2015-10-13,2015,Regular Season,5
2015-10-16,2015,Regular Season,6
2015-10-18,2015,Regular Season,6
2015-10-19,2015,Regular Season,6
2015-10-20,2015,Regular Season,6
2015-10-23,2015,Regular Season,7
2015-10-25,2015,Regular Season,7
2015-10-26,2015,Regular Season,7
2015-10-27,2015,Regular Season,7
2015-10-30,2015,Regular Season,8
2015-11-01,2015,Regular Season,8
2015-11-02,2015,Regular Season,8
2015-11-03,2015,Regular Season,8
2015-11-06,2015,Regular Season,9
2015-11-08,2015,Regular Season,9
2015-11-09,2015,Regular Season,9
2015-11-10,2015,Regular Season,9
2015-11-13,2015,Regular Season,10
2015-11-15,2015,Regular Season,10
2015-11-16,2015,Regular Season,10
2015-11-17,2015,Regular Season,10
2015-11-20,2015,Regular Season,11
2015-11-22,2015,Regular Season,11
2015-11-23,2015,Regular Season,11
2015-11-24,2015,Regular Season,11
2015-11-26,2015,Regular Season,12
2015-11-27,2015,Regular Season,12
2015-11-29,2015,Regular Season,12
2015-11-30,2015,Regular Season,12
2015-12-01,2015,Regular Season,12
2015-12-04,2015,Regular Season,13
2015-12-06,2015,Regular Season,13
2015-12-07,2015,Regular Season,13
2015-12-08,2015,Regular Season,13
2015-12-11,2015,Regular Season,14
2015-12-13,2015,Regular Season,14
2015-12-14,2015,Regular Season,14
2015-12-15,2015,Regular Season,14
2015-12-18,2015,Regular Season,15
2015-12-20,2015,Regular Season,15
2015-12-21,2015,Regular Season,15
2015-12-22,2015,Regular Season,15
2015-12-25,2015,Regular Season,16
2015-12-27,2015,Regular Season,16
2015-12-28,2015,Regular Season,16
2015-12-29,2015,Regular Season,16
2016-01-03,2015,Regular Season,17
2016-01-04,2015,Regular Season,17
2016-01-09,2015,Post Season,1
2016-01-10,2015,Post Season,1
2016-01-16,2015,Post Season,2
2016-01-17,2015,Post Season,2
2016-01-24,2015,Post Season,3
2016-02-07,2015,Post Season,5
2016-09-09,2016,Regular Season,1
2016-09-11,2016,Regular Season,1
2016-09-12,2016,Regular Season,1
2016-09-13,2016,Regular Season,1
2016-09-16,2016,Regular Season,2
2016-09-18,2016,Regular Season,2
2016-09-19,2016,Regular Season,2
2016-09-20,2016,Regular Season,2
2016-09-23,2016,Regular Season,3
2016-09-25,2016,Regular Season,3
2016-09-26,2016,Regular Season,3
2016-09-27,2016,Regular Season,3
2016-09-30,2016,Regular Season,4
2016-10-02,2016,Regular Season,4
2016-10-03,2016,Regular Season,4
2016-10-04,2016,Regular Season,4
2016-10-07,2016,Regular Season,5
2016-10-09,2016,Regular Season,5
2016-10-10,2016,Regular Season,5
2016-10-11,2016,Regular Season,5
2016-10-14,2016,Regular Season,6
2016-10-16,2016,Regular Season,6
2016-10-17,2016,Regular Season,6
2016-10-18,2016,Regular Season,6
2016-10-21,2016,Regular Season,7
2016-10-23,2016,Regular Season,7
2016-10-24,2016,Regular Season,7
2016-10-25,2016,Regular Season,7
2016-10-28,2016,Regular Season,8
2016-10-30,2016,Regular Season,8
2016-10-31,2016,Regular Season,8
2016-11-01,2016,Regular Season,8
2016-11-04,2016,Regular Season,9
2016-11-06,2016,Regular Season,9
2016-11-07,2016,Regular Season,9
2016-11-08,2016,Regular Season,9
2016-11-11,2016,Regular Season,10
2016-11-13,2016,Regular Season,10
2016-11-14,2016,Regular Season,10
2016-11-15,2016,Regular Season,10
2016-11-18,2016,Regular Season,11
2016-11-20,2016,Regular Season,11
2016-11-21,2016,Regular Season,11
2016-11-22,2016,Regular Season,11
2016-11-24,2016,Regular Season,12
2016-11-25,2016,Regular Season,12
2016-11-27,2016,Regular Season,12
2016-11-28,2016,Regular Season,12
2016-11-29,2016,Regular Season,12
2016-12-02,2016,Regular Season,13
2016-12-04,2016,Regular Season,13
2016-12-05,2016,Regular Season,13
2016-12-06,2016,Regular Season,13
2016-12-09,2016,Regular Season,14
2016-12-11,2016,Regular Season,14
2016-12-12,2016,Regular Season,14
2016-12-13,2016,Regular Season,14
2016-12-16,2016,Regular Season,15
2016-12-18,2016,Regular Season,15
2016-12-19,2016,Regular Season,15
2016-12-20,2016,Regular Season,15
2016-12-23,2016,Regular Season,16
2016-12-24,2016,Regular Season,16
2016-12-25,2016,Regular Season,16
2016-12-26,2016,Regular Season,16
2016-12-27,2016,Regular Season,16
2017-01-01,2016,Regular Season,17
2017-01-02,2016,Regular Season,17
2017-01-07,2016,Post Season,1
2017-01-08,2016,Post Season,1
2017-01-14,2016,Post Season,2
2017-01-15,2016,Post Season,2
2017-01-16,2016,Post Season,2
2017-01-22,2016,Post Season,3
2017-02-05,2016,Post Season,5
2017-09-08,2017,Regular Season,1
2017-09-10,2017,Regular Season,1
2017-09-11,2017,Regular Season,1
2017-09-12,2017,Regular Season,1
2017-09-15,2017,Regular Season,2
2017-09-17,2017,Regular Season,2
2017-09-18,2017,Regular Season,2
2017-09-19,2017,Regular Season,2
2017-09-22,2017,Regular Season,3
2017-09-24,2017,Regular Season,3
2017-09-25,2017,Regular Season,3
2017-09-26,2017,Regular Season,3
2017-09-29,2017,Regular Season,4
2017-10-01,2017,Regular Season,4
2017-10-02,2017,Regular Season,4
2017-10-03,2017,Regular Season,4
2017-10-06,2017,Regular Season,5
2017-10-08,2017,Regular Season,5
2017-10-09,2017,Regular Season,5
2017-10-10,2017,Regular Season,5
2017-10-13,2017,Regular Season,6
2017-10-15,2017,Regular Season,6
2017-10-16,2017,Regular Season,6
2017-10-17,2017,Regular Season,6
2017-10-20,2017,Regular Season,7
2017-10-22,2017,Regular Season,7
2017-10-23,2017,Regular Season,7
2017-10-24,2017,Regular Season,7
2017-10-27,2017,Regular Season,8
2017-10-29,2017,Regular Season,8
2017-10-30,2017,Regular Season,8
2017-10-31,2017,Regular Season,8
2017-11-03,2017,Regular Season,9
2017-11-05,2017,Regular Season,9
2017-11-06,2017,Regular Season,9
2017-11-07,2017,Regular Season,9
2017-11-10,2017,Regular Season,10
2017-11-12,2017,Regular Season,10
2017-11-13,2017,Regular Season,10
2017-11-14,2017,Regular Season,10
2017-11-17,2017,Regular Season,11
2017-11-19,2017,Regular Season,11
2017-11-20,2017,Regular Season,11
2017-11-21,2017,Regular Season,11
2017-11-23,2017,Regular Season,12
2017-11-24,2017,Regular Season,12
2017-11-26,2017,Regular Season,12
2017-11-27,2017,Regular Season,12
2017-11-28,2017,Regular Season,12
2017-12-01,2017,Regular Season,13
2017-12-03,2017,Regular Season,13
2017-12-04,2017,Regular Season,13
2017-12-05,2017,Regular Season,13
2017-12-08,2017,Regular Season,14
2017-12-10,2017,Regular Season,14
2017-12-11,2017,Regular Season,14
2017-12-12,2017,Regular Season,14
2017-12-15,2017,Regular Season,15
2017-12-16,2017,Regular Season,15
2017-12-17,2017,Regular Season,15
2017-12-18,2017,Regular Season,15
2017-12-19,2017,Regular Season,15
2017-12-23,2017,Regular Season,16
2017-12-24,2017,Regular Season,16
2017-12-25,2017,Regular Season,16
2017-12-26,2017,Regular Season,16
2017-12-31,2017,Regular Season,17
2018-01-06,2017,Post Season,1
2018-01-07,2017,Post Season,1
2018-01-13,2017,Post Season,2
2018-01-14,2017,Post Season,2
2018-01-21,2017,Post Season,3
2018-02-04,2017,Post Season,5
2018-09-07,2018,Regular Season,1
2018-09-09,2018,Regular Season,1
2018-09-10,2018,Regular Season,1
2018-09-11,2018,Regular Season,1
