game_id,team_id,type
330105009,9,home
330105009,16,away
330105034,34,home
330105034,4,away
330106028,26,away
330106028,28,home
330106033,33,home
330106033,11,away
330112007,33,away
330112007,7,home
330112025,25,home
330112025,9,away
330113001,26,away
330113001,1,home
330113017,34,away
330113017,17,home
330120001,25,away
330120001,1,home
330120017,33,away
330120017,17,home
330127032,31,away
330127032,32,home
330203025,25,home
330203025,33,away
330905007,7,home
330905007,33,away
330908002,2,home
330908002,17,away
330908003,4,away
330908003,3,home
330908005,15,away
330908005,5,home
330908006,19,away
330908006,6,home
330908008,16,away
330908008,8,home
330908011,13,away
330908011,11,home
330908014,14,home
330908014,22,away
330908018,1,away
330908018,18,home
330908020,27,away
330908020,20,home
330908023,10,away
330908023,23,home
330908025,25,home
330908025,9,away
330908029,29,home
330908029,26,away
330908030,12,away
330908030,30,home
330909024,24,home
330909024,34,away
330909028,28,home
330909028,21,away
330912017,20,away
330912017,17,home
330915001,1,home
330915001,14,away
330915002,2,home
330915002,29,away
330915003,16,away
330915003,3,home
330915009,9,home
330915009,28,away
330915011,15,away
330915011,11,home
330915012,12,home
330915012,6,away
330915013,13,home
330915013,30,away
330915019,7,away
330915019,19,home
330915021,21,home
330915021,24,away
330915022,22,home
330915022,8,away
330915026,25,away
330915026,26,home
330915027,27,home
330915027,18,away
330915033,5,away
330915033,33,home
330915034,34,home
330915034,10,away
330916004,23,away
330916004,4,home
330919021,21,home
330919021,12,away
330922004,9,away
330922004,4,home
330922006,14,away
330922006,6,home
330922010,24,away
330922010,10,home
330922015,1,away
330922015,15,home
330922016,5,away
330922016,16,home
330922017,27,away
330922017,17,home
330922018,18,home
330922018,22,away
330922020,20,home
330922020,2,away
330922023,3,away
330922023,23,home
330922025,25,home
330922025,11,away
330922026,26,home
330922026,30,away
330922028,8,away
330922028,28,home
330922029,19,away
330922029,29,home
330922033,34,away
330922033,33,home
330923007,13,away
330923007,7,home
330926014,25,away
330926014,14,home
330929001,17,away
330929001,1,home
330929002,33,away
330929002,2,home
330929005,4,away
330929005,5,home
330929007,21,away
330929007,7,home
330929008,3,away
330929008,8,home
330929010,20,away
330929010,10,home
330929012,12,home
330929012,19,away
330929013,13,home
330929013,28,away
330929016,23,away
330929016,16,home
330929024,6,away
330929024,24,home
330929027,27,home
330929027,22,away
330929030,30,home
330929030,11,away
330929034,34,home
330929034,26,away
330930018,15,away
330930018,18,home
331003005,5,home
