game_id,quarter,score,team_name
330905007,1,7,Ravens
330905007,2,10,Ravens
330905007,3,0,Ravens
330905007,4,10,Ravens
330908002,1,0,Bills
330908002,2,14,Bills
330908002,3,7,Bills
330908002,4,0,Bills
330908002,1,10,Patriots
330908002,2,7,Patriots
330908002,3,0,Patriots
330908002,4,6,Patriots
330908003,1,7,Bears
330908003,2,3,Bears
330908003,3,7,Bears
330908003,4,7,Bears
330908003,1,7,Bengals
330908003,2,7,Bengals
330908003,3,7,Bengals
330908003,4,0,Bengals
330908005,1,0,Browns
330908005,2,7,Browns
330908005,3,3,Browns
330908005,4,0,Browns
330908005,1,3,Dolphins
330908005,2,3,Dolphins
330908005,3,7,Dolphins
330908005,4,10,Dolphins
330908008,1,3,Lions
330908008,2,10,Lions
330908008,3,14,Lions
330908008,4,7,Lions
330908008,1,7,Vikings
330908008,2,7,Vikings
330908008,3,10,Vikings
330908008,4,0,Vikings
330908011,1,7,Colts
330908011,2,7,Colts
330908011,3,0,Colts
330908011,4,7,Colts
330908011,1,0,Raiders
330908011,2,7,Raiders
330908011,3,3,Raiders
330908011,4,7,Raiders
330908018,1,0,Saints
330908018,2,13,Saints
330908018,3,7,Saints
330908018,4,3,Saints
330908018,1,10,Falcons
330908018,2,0,Falcons
330908018,3,7,Falcons
330908018,4,0,Falcons
330908020,1,2,Jets
330908020,2,10,Jets
330908020,3,0,Jets
330908020,4,6,Jets
330908020,1,7,Buccaneers
330908020,2,7,Buccaneers
330908020,3,0,Buccaneers
330908020,4,3,Buccaneers
330908023,1,2,Steelers
330908023,2,0,Steelers
330908023,3,0,Steelers
330908023,4,7,Steelers
330908023,1,0,Titans
330908023,2,7,Titans
330908023,3,3,Titans
330908023,4,6,Titans
330908029,1,0,Panthers
330908029,2,7,Panthers
330908029,3,0,Panthers
330908029,4,0,Panthers
330908029,1,0,Seahawks
330908029,2,3,Seahawks
330908029,3,3,Seahawks
330908029,4,6,Seahawks
330908030,1,2,Jaguars
330908030,2,0,Jaguars
330908030,3,0,Jaguars
330908030,4,0,Jaguars
330908030,1,14,Chiefs
330908030,2,7,Chiefs
330908030,3,0,Chiefs
330908030,4,7,Chiefs
330908014,1,0,Rams
330908014,2,10,Rams
330908014,3,3,Rams
330908014,4,14,Rams
330908014,1,0,Cardinals
330908014,2,10,Cardinals
330908014,3,14,Cardinals
330908014,4,0,Cardinals
330908025,1,7,49ers
330908025,2,7,49ers
330908025,3,7,49ers
330908025,4,13,49ers
330908025,1,7,Packers
330908025,2,7,Packers
330908025,3,7,Packers
330908025,4,7,Packers
330908006,1,3,Cowboys
330908006,2,10,Cowboys
330908006,3,14,Cowboys
330908006,4,9,Cowboys
330908006,1,3,Giants
330908006,2,7,Giants
330908006,3,7,Giants
330908006,4,14,Giants
330909028,1,7,Commanders
330909028,2,0,Commanders
330909028,3,7,Commanders
330909028,4,13,Commanders
330909028,1,12,Eagles
330909028,2,14,Eagles
330909028,3,7,Eagles
330909028,4,0,Eagles
330909024,1,7,Chargers
330909024,2,14,Chargers
330909024,3,7,Chargers
330909024,4,0,Chargers
330909024,1,7,Texans
330909024,2,0,Texans
330909024,3,7,Texans
330909024,4,17,Texans
330912017,1,10,Patriots
330912017,2,3,Patriots
330912017,3,0,Patriots
330912017,4,0,Patriots
330912017,1,3,Jets
330912017,2,0,Jets
330912017,3,7,Jets
330912017,4,0,Jets
330915001,1,14,Falcons
330915001,2,10,Falcons
330915001,3,0,Falcons
330915001,4,7,Falcons
330915001,1,0,Rams
330915001,2,3,Rams
330915001,3,7,Rams
330915001,4,14,Rams
330915002,1,0,Bills
330915002,2,3,Bills
330915002,3,11,Bills
330915002,4,10,Bills
330915002,1,0,Panthers
330915002,2,7,Panthers
330915002,3,7,Panthers
330915002,4,9,Panthers
330915003,1,14,Bears
330915003,2,10,Bears
330915003,3,0,Bears
330915003,4,7,Bears
330915003,1,7,Vikings
330915003,2,14,Vikings
330915003,3,3,Vikings
330915003,4,6,Vikings
330915009,1,10,Packers
330915009,2,14,Packers
330915009,3,14,Packers
330915009,4,0,Packers
330915009,1,0,Commanders
330915009,2,0,Commanders
330915009,3,7,Commanders
330915009,4,13,Commanders
330915011,1,3,Colts
