play_id,start_down,end_down,quarter,play_type,seconds_remaining,text,score_value,yards
4015476391,0,0,0,Coin Toss,900,GAME,0,0
40154763939,0,1,1,Kickoff,900,"J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback.",0,0
40154763955,1,2,1,Rush,900,"N.Harris up the middle to PIT 27 for 2 yards (P.Queen, J.Clowney).",0,2
40154763977,2,3,1,Pass Reception,864,(Shotgun) M.Rudolph pass short right to N.Harris to PIT 34 for 7 yards (A.Maulet).,0,7
401547639106,3,1,1,Pass Reception,820,(Shotgun) M.Rudolph pass short middle to D.Johnson to PIT 41 for 7 yards (D.Phillips) [J.Madubuike].,0,7
401547639131,1,2,1,Rush,775,J.Warren left end to PIT 41 for no gain (D.Phillips; T.Jones).,0,0
401547639153,2,3,1,Pass Reception,736,(Shotgun) M.Rudolph pass short right to D.Johnson to PIT 47 for 6 yards (D.Phillips).,0,6
401547639178,3,4,1,Pass Incompletion,709,"(No Huddle, Shotgun) M.Rudolph pass incomplete short middle to A.Robinson (M.Williams).",0,0
401547639201,4,1,1,Punt,704,"P.Harvin punts 34 yards to BLT 19, Center-C.Kuntz, fair catch by T.Wallace.",0,0
401547639221,1,1,1,Official Timeout,697,Timeout at 11:37.,0,0
401547639228,1,2,1,Rush,697,(Shotgun) T.Huntley scrambles left end to BLT 21 for 2 yards (E.Rowe).,0,2
401547639250,2,3,1,Pass Reception,662,(Shotgun) T.Huntley pass short right to C.Kolar to BLT 26 for 5 yards (E.Rowe).,0,5
401547639275,3,4,1,Pass Incompletion,626,(Shotgun) T.Huntley pass incomplete short right to J.Hill.,0,0
401547639298,4,1,1,Punt,620,"J.Stout punts 64 yards to PIT 10, Center-T.Ott. C.Austin to PIT 24 for 14 yards (T.Simpson).",0,14
401547639311,1,1,1,Official Timeout,608,Timeout at 10:08.,0,0
401547639324,1,2,1,Rush,608,"(Shotgun) N.Harris up the middle to PIT 29 for 5 yards (M.Williams, T.Robinson).",0,5
401547639353,2,3,1,Rush,574,"N.Harris right guard to PIT 33 for 4 yards (P.Queen, D.Phillips).",0,4
401547639375,3,1,1,Rush,534,N.Harris up the middle to PIT 34 for 1 yard (D.Phillips).,0,1
401547639397,1,1,1,Rush,490,(Shotgun) J.Warren left end to BLT 43 for 23 yards (D.Phillips).,0,23
401547639426,1,2,1,Rush,445,C.Austin left end to BLT 35 for 8 yards (B.Stephens).,0,8
401547639448,2,1,1,Pass Reception,409,M.Rudolph pass short right to Co.Heyward to BLT 33 for 2 yards (J.Madubuike).,0,2
401547639473,1,2,1,Rush,367,J.Warren left guard to BLT 28 for 5 yards (A.Maulet).,0,5
401547639495,2,1,1,Pass Reception,326,(Shotgun) M.Rudolph pass short left to D.Johnson pushed ob at BLT 23 for 5 yards (B.Stephens).,0,5
401547639525,1,2,1,Rush,287,"(Shotgun) N.Harris up the middle to BLT 14 for 9 yards (T.Jones, M.Williams).",0,9
401547639547,2,1,1,Pass Reception,250,"(Shotgun) M.Rudolph pass short left to N.Harris to BLT 8 for 6 yards (D.Phillips, T.Jones).",0,6
401547639569,1,2,1,Rush,206,N.Harris right guard to BLT 6 for 2 yards (M.Pierce; T.Robinson).,0,2
401547639628,1,1,1,Official Timeout,156,Timeout at 02:36.,0,0
401547639591,2,0,1,Rushing Touchdown,156,"(Shotgun) N.Harris up the middle for 6 yards, TOUCHDOWN.C.Boswell extra point is GOOD, Center-C.Kuntz, Holder-P.Harvin.",6,6
401547639636,0,1,1,Kickoff,156,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",0,0
401547639660,1,2,1,Rush,156,"M.Gordon right end to BLT 28 for 3 yards (T.Watt, M.Robinson).",0,3
401547639682,2,3,1,Pass Incompletion,117,(Shotgun) T.Huntley pass incomplete short middle to C.Kolar.,0,0
401547639705,3,4,1,Pass Incompletion,114,(Shotgun) T.Huntley pass incomplete short right to J.Hill.,0,0
401547639728,4,1,1,Punt,105,"J.Stout punts 51 yards to PIT 21, Center-T.Ott. C.Austin to PIT 37 for 16 yards (T.Ott).",0,16
401547639754,1,1,1,Official Timeout,94,Timeout at 01:34.,0,0
401547639761,1,2,1,Rush,94,(Shotgun) N.Harris right guard to PIT 42 for 5 yards (B.Washington).,0,5
401547639783,2,3,1,Pass Reception,57,M.Rudolph pass short right to Co.Heyward to PIT 44 for 2 yards (P.Queen).,0,2
401547639808,3,4,1,Pass Incompletion,11,(Shotgun) M.Rudolph pass incomplete deep left to D.Johnson.,0,0
401547639831,4,1,1,Punt,5,"P.Harvin punts 49 yards to BLT 7, Center-C.Kuntz, downed by PIT-J.Pierre. PENALTY on PIT, Offensive Too Many Men on Field, 5 yards, enforced at PIT 44 - No Play.",0,-5
401547639851,1,1,1,End Period,0,END QUARTER 1,0,0
401547639871,4,1,2,Punt,900,"P.Harvin punts 26 yards to BLT 35, Center-C.Kuntz, out of bounds.",0,0
401547639902,1,2,2,Rush,892,(Shotgun) M.Gordon right end to BLT 41 for 6 yards (E.Rowe).,0,6
401547639924,2,1,2,Rush,853,(Shotgun) M.Gordon right guard to BLT 45 for 4 yards (T.Watt; E.Rowe).,0,4
401547639946,1,1,2,Fumble Recovery (Opponent),813,"(Shotgun) M.Gordon right end to BLT 45 for no gain (M.Robinson). FUMBLES (M.Robinson), RECOVERED by PIT-L.Ogunjobi at BLT 45.",0,0
401547639965,1,1,2,Official Timeout,808,Timeout at 13:28.,0,0
401547639984,1,1,2,Rush,808,(Shotgun) N.Harris left end pushed ob at BLT 35 for 10 yards (P.Queen).,0,10
4015476391018,1,1,2,Penalty,775,"(Shotgun) PENALTY on PIT-M.Cole, False Start, 5 yards, enforced at BLT 35 - No Play.",0,-5
4015476391042,1,2,2,Rush,755,"(Shotgun) N.Harris up the middle to BLT 38 for 2 yards (D.Phillips, T.Robinson).",0,2
4015476391064,2,3,2,Pass Reception,718,(Shotgun) M.Rudolph pass short middle to J.Warren to BLT 33 for 5 yards (A.Maulet).,0,5
4015476391089,3,1,2,Fumble Recovery (Opponent),675,"(Shotgun) M.Rudolph pass short right to J.Warren to BLT 32 for 1 yard (A.Maulet, D.Phillips). FUMBLES (D.Phillips), touched at BLT 32, RECOVERED by BLT-A.Maulet at BLT 33.",0,1
4015476391113,1,1,2,Official Timeout,662,Timeout at 11:02.,0,0
4015476391137,1,2,2,Pass Incompletion,662,(Shotgun) T.Huntley pass incomplete short left to J.Hill.,0,0
4015476391167,2,3,2,Rush,654,(Shotgun) T.Huntley scrambles up the middle to BLT 40 for 7 yards (T.Watt).,0,7
4015476391189,3,1,2,Pass Reception,615,(Shotgun) T.Huntley pass short right to I.Likely to BLT 44 for 4 yards (E.Rowe).,0,4
4015476391214,1,2,2,Sack,578,T.Huntley sacked at BLT 36 for -8 yards (M.Robinson).,0,-8
4015476391234,2,3,2,Pass Reception,536,(Shotgun) T.Huntley pass short left to J.Hill to BLT 40 for 4 yards (M.Killebrew).,0,4
4015476391259,3,4,2,Rush,499,(Shotgun) T.Huntley scrambles right end to BLT 47 for 7 yards (A.Highsmith).,0,7
4015476391281,4,4,2,Punt,467,"J.Stout punts 49 yards to PIT 4, Center-T.Ott, downed by BLT-L.Treadwell. PENALTY on BLT-T.Simpson, Ineligible Downfield Kick, 6 yards, enforced at BLT 47 - No Play.",0,-6
4015476391312,4,1,2,Punt,456,"J.Stout punts 59 yards to end zone, Center-T.Ott, Touchback. PENALTY on PIT-Co.Heyward, Offensive Holding, 10 yards, enforced at PIT 20.",0,49
4015476391341,4,4,2,Official Timeout,446,Timeout at 07:26.,0,0
4015476391349,1,2,2,Rush,446,N.Harris left end to PIT 12 for 2 yards (B.Washington; M.Williams).,0,2
4015476391371,2,3,2,Pass Reception,402,(Shotgun) M.Rudolph pass short middle to N.Harris to PIT 17 for 5 yards (R.Ya-Sin).,0,5
4015476391396,3,4,2,Rush,356,"(Shotgun) J.Warren up the middle to PIT 19 for 2 yards (K.Van Noy, M.Williams).",0,2
4015476391418,4,1,2,Punt,318,"P.Harvin punts 52 yards to BLT 29, Center-C.Kuntz, downed by PIT-J.Pierre.",0,0
4015476391438,1,1,2,Official Timeout,307,Timeout at 05:07.,0,0
4015476391445,1,2,2,Rush,307,(Shotgun) G.Edwards left guard to BLT 30 for 1 yard (I.Loudermilk).,0,1
4015476391467,2,3,2,Pass Incompletion,270,(Shotgun) T.Huntley pass incomplete short right to J.Hill (E.Rowe).,0,0
4015476391502,3,1,2,Pass Reception,265,(Shotgun) T.Huntley pass deep right to L.Treadwell to BLT 46 for 16 yards (C.Sullivan).,0,16
4015476391527,1,1,2,Rush,223,(Shotgun) G.Edwards right guard to PIT 25 for 29 yards (E.Rowe).,0,29
4015476391549,1,2,2,Rush,184,(Shotgun) G.Edwards up the middle to PIT 27 for -2 yards (T.Watt).,0,-2
4015476391571,2,0,2,Passing Touchdown,139,"(Shotgun) T.Huntley pass deep right to I.Likely for 27 yards, TOUCHDOWN.J.Tucker extra point is GOOD, Center-T.Ott, Holder-J.Stout.",6,27
4015476391612,0,1,2,Kickoff,139,"J.Stout kicks 60 yards from BLT 35 to PIT 5, out of bounds.",0,0
4015476391628,1,2,2,Rush,139,J.Warren left guard to PIT 45 for 5 yards (J.Madubuike; M.Pierce).,0,5
4015476391650,2,2,2,Two-minute warning,120,Two-Minute Warning,0,0
4015476391657,2,3,2,Rush,120,"(Shotgun) J.Warren left end to PIT 44 for -1 yards (J.Moon, P.Queen).",0,-1
4015476391679,3,1,2,Pass Reception,76,(Shotgun) M.Rudolph pass short right to P.Freiermuth pushed ob at BLT 43 for 13 yards (M.Williams).,0,13
4015476391709,1,2,2,Pass Reception,70,(Shotgun) M.Rudolph pass short right to J.Warren to BLT 40 for 3 yards (D.Phillips).,0,3
4015476391734,2,1,2,Pass Reception,51,"(No Huddle, Shotgun) M.Rudolph pass short middle to J.Warren to BLT 33 for 7 yards (P.Queen).",0,7
4015476391759,1,1,2,Timeout,43,Timeout #1 by PIT at 00:43.,0,0
4015476391802,2,2,2,Timeout,31,Timeout #2 by PIT at 00:31.,0,0
4015476391810,2,3,2,Pass Reception,31,(Shotgun) M.Rudolph pass short middle to P.Freiermuth to BLT 34 for 8 yards (A.Maulet).,0,8
4015476391766,1,2,2,Fumble Recovery (Own),25,"(Shotgun) M.Rudolph sacked at BLT 41 for -8 yards (J.Clowney). FUMBLES (J.Clowney) [J.Clowney], recovered by PIT-D.Moore at BLT 42.",0,0
4015476391835,3,1,2,Sack,9,"(No Huddle, Shotgun) M.Rudolph sacked at BLT 42 for -8 yards (K.Van Noy). FUMBLES (K.Van Noy), RECOVERED by BLT-B.Washington at BLT 37.",0,0
4015476391865,1,2,2,Rush,5,T.Huntley kneels to BLT 36 for -1 yards.,0,-1
4015476391887,0,1,2,End of Half,0,END QUARTER 2,0,0
4015476391907,0,1,3,Kickoff,900,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",0,0
4015476391923,1,1,3,Penalty,900,"PENALTY on BLT, Delay of Game, 5 yards, enforced at BLT 25 - No Play.",0,-5
4015476391947,1,2,3,Rush,900,G.Edwards left tackle to BLT 22 for 2 yards (C.Heyward).,0,2
4015476391969,2,3,3,Sack,859,(Shotgun) T.Huntley sacked at BLT 19 for -3 yards (T.Watt).,0,-3
4015476391989,3,4,3,Pass Incompletion,815,(Shotgun) T.Huntley pass incomplete short middle to L.Treadwell.,0,0
4015476392012,4,1,3,Punt,807,"J.Stout punts 56 yards to PIT 25, Center-T.Ott. C.Austin MUFFS catch, and recovers at PIT 15. C.Austin pushed ob at PIT 36 for 21 yards (T.Simpson).",0,21
4015476392043,1,1,3,Rush,793,N.Harris left guard to BLT 49 for 15 yards (M.Williams; T.Simpson).,0,15
4015476392084,1,2,3,Rush,753,N.Harris up the middle to BLT 47 for 2 yards (M.Pierce).,0,2
4015476392106,2,3,3,Rush,708,"N.Harris right end to BLT 49 for -2 yards (J.Clowney, R.Ya-Sin).",0,-2
4015476392128,3,3,3,Penalty,661,"(Shotgun) PENALTY on PIT, Delay of Game, 5 yards, enforced at BLT 49 - No Play.",0,-5
4015476392152,3,4,3,Fumble Recovery (Own),657,"(Shotgun) M.Rudolph FUMBLES (Aborted) at PIT 41, and recovers at PIT 40.",0,0
4015476392179,4,1,3,Punt,626,"P.Harvin punts 39 yards to BLT 21, Center-C.Kuntz, fair catch by T.Wallace.",0,0
4015476392189,1,1,3,Official Timeout,621,Timeout at 10:21.,0,0
4015476392199,1,2,3,Rush,621,G.Edwards right guard to BLT 23 for 2 yards (M.Robinson).,0,2
4015476392228,2,3,3,Rush,584,"(Shotgun) G.Edwards right tackle to BLT 24 for 1 yard (M.Walker, T.Watt).",0,1
4015476392250,3,4,3,Sack,543,(Shotgun) T.Huntley sacked at BLT 16 for -8 yards (T.Watt).,0,-8
4015476392270,4,1,3,Punt,510,"J.Stout punts 57 yards to PIT 27, Center-T.Ott. C.Austin to PIT 34 for 7 yards (T.Ott).",0,7
4015476392296,1,1,3,Official Timeout,498,Timeout at 08:18.,0,0
4015476392303,1,1,3,Rush,498,N.Harris up the middle to PIT 45 for 11 yards (T.Robinson).,0,11
4015476392325,1,2,3,Rush,454,N.Harris right end pushed ob at PIT 41 for -4 yards (D.Phillips).,0,-4
4015476392352,2,3,3,Sack,413,(Shotgun) M.Rudolph sacked at PIT 35 for -6 yards (T.Simpson).,0,-6
4015476392372,3,4,3,Pass Reception,372,(Shotgun) M.Rudolph pass short left to J.Warren to PIT 36 for 1 yard (J.Clowney).,0,1
4015476392401,4,1,3,Punt,340,"P.Harvin punts 46 yards to BLT 18, Center-C.Kuntz, fair catch by D.Williams.",0,0
4015476392421,1,1,3,Official Timeout,332,Timeout at 05:32.,0,0
4015476392428,1,2,3,Pass Incompletion,332,(Shotgun) T.Huntley pass incomplete short left to L.Treadwell.,0,0
4015476392451,2,1,3,Pass Reception,329,(Shotgun) T.Huntley pass short middle to C.Kolar to BLT 30 for 12 yards (P.Peterson).,0,12
4015476392476,1,2,3,Rush,294,"G.Edwards right end to BLT 32 for 2 yards (T.Watt, M.Walker).",0,2
4015476392498,2,1,3,Pass Reception,254,(Shotgun) T.Huntley pass short right to N.Agholor to BLT 48 for 16 yards (M.Robinson). PIT-T.Watt was injured during the play.,0,16
4015476392526,1,2,3,Rush,228,(Shotgun) G.Edwards right tackle to BLT 49 for 1 yard (M.Jack).,0,1
4015476392548,2,3,3,Pass Incompletion,190,(Shotgun) T.Huntley pass incomplete short right [M.Golden].,0,0
4015476392571,3,4,3,Pass Incompletion,182,(Shotgun) T.Huntley pass incomplete short left to J.Hill.,0,0
4015476392594,4,1,3,Punt,177,"J.Stout punts 40 yards to PIT 11, Center-T.Ott, fair catch by C.Austin.",0,0
4015476392614,1,2,3,Rush,170,N.Harris right guard to PIT 16 for 5 yards (D.Phillips; R.Ya-Sin).,0,5
4015476392636,2,3,3,Rush,133,"N.Harris left guard to PIT 20 for 4 yards (M.Williams, D.Phillips).",0,4
4015476392658,3,1,3,Rush,101,G.Pickens right end to PIT 23 for 3 yards (J.Moon). BLT-G.Stone was injured during the play.,0,3
4015476392671,1,1,3,Official Timeout,90,Timeout at 01:30.,0,0
4015476392683,1,2,3,Rush,76,C.Okorafor reported in as eligible.  N.Harris right guard to PIT 26 for 3 yards (T.Robinson).,0,3
4015476392714,2,3,3,Rush,34,(Shotgun) N.Harris left guard to PIT 29 for 3 yards (B.Washington).,0,3
4015476392736,3,3,3,End Period,0,END QUARTER 3,0,0
4015476392795,1,1,4,Official Timeout,889,Timeout at 14:49.,0,0
4015476392756,3,0,4,Passing Touchdown,889,"Diontae Johnson Pass From Mason Rudolph for 71 Yds C.Boswell extra point is GOOD, Center-C.Kuntz, Holder-P.Harvin. PENALTY on BLT-J.Madubuike, Unnecessary Roughness, 15 yards, enforced between downs.",6,71
4015476392808,0,1,4,Kickoff,889,"C.Boswell kicks 50 yards from 50 to end zone, Touchback.",0,0
4015476392831,1,2,4,Rush,889,(Shotgun) M.Gordon left guard to BLT 30 for 5 yards (C.Heyward).,0,5
4015476392853,2,3,4,Rush,858,"(Shotgun) M.Gordon right guard to BLT 29 for -1 yards (M.Golden, A.Highsmith).",0,-1
4015476392875,3,1,4,Pass Reception,818,(Shotgun) T.Huntley pass short left to N.Agholor to BLT 35 for 6 yards (E.Rowe).,0,6
4015476392900,1,2,4,Rush,778,"(Shotgun) M.Gordon left tackle to BLT 36 for 1 yard (L.Ogunjobi, M.Golden).",0,1
4015476392922,2,3,4,Pass Reception,743,(Shotgun) T.Huntley pass short left to J.Hill to BLT 39 for 3 yards (L.Wallace).,0,3
4015476392947,3,1,4,Pass Reception,704,(Shotgun) T.Huntley pass short middle to N.Agholor to BLT 49 for 10 yards (M.Killebrew).,0,10
4015476392972,1,2,4,Pass Incompletion,667,(Shotgun) T.Huntley pass incomplete short left to J.Hill (M.Adams).,0,0
4015476392995,2,3,4,Pass Reception,662,(Shotgun) T.Huntley pass short left to N.Agholor to PIT 49 for 2 yards (E.Roberts).,0,2
4015476393020,3,4,4,Pass Incompletion,622,(Shotgun) T.Huntley pass incomplete short right to T.Wallace.,0,0
4015476393043,4,1,4,Punt,618,"J.Stout punts 40 yards to PIT 9, Center-T.Ott. C.Austin to PIT 43 for 34 yards (B.Stephens).",0,34
4015476393069,1,1,4,Official Timeout,603,Timeout at 10:03.,0,0
4015476393076,1,2,4,Rush,603,J.Warren left tackle to PIT 47 for 4 yards (M.Pierce).,0,4
4015476393098,2,3,4,Fumble Recovery (Own),565,"(Shotgun) J.Warren right tackle to PIT 47 for no gain (J.Moon; A.Maulet). FUMBLES (J.Moon), recovered by PIT-B.Jones at PIT 47.",0,0
4015476393120,3,4,4,Pass Reception,503,(Shotgun) M.Rudolph pass short right to N.Harris to PIT 47 for no gain (T.Simpson).,0,0
4015476393145,4,1,4,Punt,470,"P.Harvin punts 53 yards to end zone, Center-C.Kuntz, Touchback.",0,0
4015476393154,1,1,4,Official Timeout,461,Timeout at 07:41.,0,0
4015476393163,1,2,4,Rush,461,(Shotgun) G.Edwards right guard to BLT 27 for 7 yards (K.Benton; M.Jack).,0,7
4015476393209,2,1,4,Fumble Recovery (Opponent),439,"(No Huddle, Shotgun) G.Edwards left guard to BLT 32 for 5 yards (E.Rowe; K.Benton). FUMBLES (E.Rowe), RECOVERED by PIT-M.Golden at BLT 32.",0,5
4015476393247,1,2,4,Rush,434,N.Harris right tackle to BLT 23 for 9 yards (M.Williams; J.Moon).,0,9
4015476393269,2,1,4,Rush,392,N.Harris left guard to BLT 15 for 8 yards (P.Queen; R.Ya-Sin).,0,8
4015476393275,1,1,4,Timeout,344,Timeout #1 by PIT at 05:44.,0,0
4015476393291,1,2,4,Rush,344,N.Harris left guard to BLT 10 for 5 yards (T.Simpson).,0,5
4015476393326,2,3,4,Rush,298,N.Harris left guard to BLT 8 for 2 yards (M.Pierce; B.Urban).,0,2
4015476393348,3,3,4,Timeout,292,Timeout #1 by BLT at 04:52.,0,0
4015476393355,3,1,4,Pass Reception,292,"M.Rudolph pass short right to N.Harris to BLT 5 for 3 yards (P.Queen, B.Stephens).",0,3
4015476393390,1,2,4,Rush,249,N.Harris right guard to BLT 6 for -1 yards (M.Pierce).,0,-1
4015476393412,2,3,4,Rush,208,N.Harris up the middle to BLT 2 for 4 yards (T.Jones; M.Williams).,0,4
4015476393423,3,3,4,Timeout,202,Timeout #2 by BLT at 03:22.,0,0
4015476393434,3,4,4,Rush,202,J.Warren left end to BLT 7 for -5 yards (T.Simpson).,0,-5
4015476393449,4,4,4,Timeout,197,Timeout #3 by BLT at 03:17.,0,0
4015476393463,4,0,4,Field Goal Good,193,"C.Boswell 25 yard field goal is GOOD, Center-C.Kuntz, Holder-P.Harvin.",3,25
4015476393490,0,1,4,Kickoff,193,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",0,0
4015476393506,1,2,4,Pass Reception,193,(Shotgun) T.Huntley pass short right to N.Agholor to BLT 30 for 5 yards (E.Rowe).,0,5
4015476393536,2,1,4,Pass Reception,177,"(No Huddle, Shotgun) T.Huntley pass short middle to J.Hill to BLT 49 for 19 yards (A.Highsmith).",0,19
4015476393565,1,2,4,Pass Reception,150,"(No Huddle, Shotgun) T.Huntley pass short middle to C.Kolar to PIT 45 for 6 yards (E.Rowe, M.Killebrew).",0,6
4015476393590,2,1,4,Rush,134,"(No Huddle, Shotgun) T.Huntley scrambles right end pushed ob at PIT 42 for 3 yards (K.Benton).",0,3
4015476393617,3,4,4,Pass Incompletion,128,(Shotgun) T.Huntley pass incomplete short right to J.Hill.,0,0
4015476393640,4,1,4,Rush,123,(Shotgun) T.Huntley up the middle to PIT 36 for 6 yards (E.Rowe).,0,6
4015476393651,1,1,4,Two-minute warning,118,Two-Minute Warning,0,0
4015476393662,1,1,4,Rush,118,(Shotgun) T.Huntley scrambles up the middle to PIT 25 for 11 yards (E.Rowe).,0,11
4015476393691,1,1,4,Pass Reception,96,"(No Huddle, Shotgun) T.Huntley pass short left to T.Wallace to PIT 14 for 11 yards (M.Jack).",0,11
4015476393716,1,2,4,Rush,80,"(No Huddle, Shotgun) T.Huntley scrambles right end to PIT 9 for 5 yards (M.Killebrew).",0,5
4015476393738,2,3,4,Pass Incompletion,53,"(No Huddle, Shotgun) T.Huntley pass incomplete short right [M.Killebrew].",0,0
4015476393750,3,3,4,Timeout,45,Timeout #2 by PIT at 00:45.,0,0
4015476393761,3,4,4,Sack,45,(Shotgun) T.Huntley sacked at PIT 18 for -9 yards (M.Golden).,0,-9
4015476393778,4,4,4,Timeout,20,Timeout #3 by PIT at 00:20.,0,0
4015476393795,4,0,4,Field Goal Good,16,"J.Tucker 36 yard field goal is GOOD, Center-T.Ott, Holder-J.Stout.",3,36
4015476393829,0,0,4,Kickoff Return (Offense),16,J.Tucker kicks onside 10 yards from BLT 35 to BLT 45. Co.Heyward (didn't try to advance) to BLT 45 for no gain.,0,0
4015476393854,1,2,4,Rush,15,M.Rudolph kneels to BLT 46 for -1 yards.,0,-1
