game_id,date,attendance,utc_time,venue_name,home_team_name,away_team_name
330105034,2013-01-05,0,21:30,NRG Stadium,Texans,Bengals
330105009,2013-01-06,0,01:00,Lambeau Field,Packers,Vikings
330106033,2013-01-06,0,18:00,M&T Bank Stadium,Ravens,Colts
330106028,2013-01-06,0,21:30,FedExField,Commanders,Seahawks
330112007,2013-01-12,0,21:30,Empower Field at Mile High,Broncos,Ravens
330112025,2013-01-13,0,01:00,Candlestick Park,49ers,Packers
330113001,2013-01-13,0,18:00,Georgia Dome,Falcons,Seahawks
330113017,2013-01-13,0,21:30,Gillette Stadium,Patriots,Texans
330120001,2013-01-20,0,20:00,Georgia Dome,Falcons,49ers
330120017,2013-01-20,0,23:30,Gillette Stadium,Patriots,Ravens
330203025,2013-02-03,0,23:30,Caesars Superdome,49ers,Ravens
330905007,2013-09-06,76977,00:30,Empower Field at Mile High,Broncos,Ravens
330908002,2013-09-08,69519,17:00,Highmark Stadium,Bills,Patriots
330908003,2013-09-08,62213,17:00,Soldier Field,Bears,Bengals
330908005,2013-09-08,71513,17:00,Cleveland Browns Stadium,Browns,Dolphins
330908008,2013-09-08,62461,17:00,Ford Field,Lions,Vikings
330908011,2013-09-08,65412,17:00,Lucas Oil Stadium,Colts,Raiders
330908018,2013-09-08,72348,17:00,Caesars Superdome,Saints,Falcons
330908020,2013-09-08,76957,17:00,MetLife Stadium,Jets,Buccaneers
330908023,2013-09-08,61585,17:00,Acrisure Stadium,Steelers,Titans
330908029,2013-09-08,73294,17:00,Bank of America Stadium,Panthers,Seahawks
330908030,2013-09-08,59416,17:00,EverBank Stadium,Jaguars,Chiefs
330908014,2013-09-08,55279,20:25,The Dome at America's Center,Rams,Cardinals
330908025,2013-09-08,69732,20:25,Candlestick Park,49ers,Packers
330908006,2013-09-09,85348,00:30,AT&T Stadium,Cowboys,Giants
330909028,2013-09-09,82743,22:55,FedExField,Commanders,Eagles
330909024,2013-09-10,59522,02:25,SDCCU Stadium,Chargers,Texans
330912017,2013-09-13,68756,00:25,Gillette Stadium,Patriots,Jets
