end_down,game_id,play_id,play_type,quarter,score_value,seconds_remaining,start_down,text,yards
0.0,401547639.0,4015476391,Coin Toss,0.0,0.0,900.0,0.0,GAME,0.0
1.0,401547639.0,40154763939,Kickoff,1.0,0.0,900.0,0.0,"J.Tucker kicks 65 yards from BLT 35 to end zone, Touchback.",0.0
2.0,401547639.0,40154763955,Rush,1.0,0.0,900.0,1.0,"N.Harris up the middle to PIT 27 for 2 yards (P.Queen, J.Clowney).",2.0
3.0,401547639.0,40154763977,Pass Reception,1.0,0.0,864.0,2.0,(Shotgun) M.Rudolph pass short right to N.Harris to PIT 34 for 7 yards (A.Maulet).,7.0
1.0,401547639.0,401547639106,Pass Reception,1.0,0.0,820.0,3.0,(Shotgun) M.Rudolph pass short middle to D.Johnson to PIT 41 for 7 yards (D.Phillips) [J.Madubuike].,7.0
2.0,401547639.0,401547639131,Rush,1.0,0.0,775.0,1.0,J.Warren left end to PIT 41 for no gain (D.Phillips; T.Jones).,0.0
3.0,401547639.0,401547639153,Pass Reception,1.0,0.0,736.0,2.0,(Shotgun) M.Rudolph pass short right to D.Johnson to PIT 47 for 6 yards (D.Phillips).,6.0
4.0,401547639.0,401547639178,Pass Incompletion,1.0,0.0,709.0,3.0,"(No Huddle, Shotgun) M.Rudolph pass incomplete short middle to A.Robinson (M.Williams).",0.0
1.0,401547639.0,401547639201,Punt,1.0,0.0,704.0,4.0,"P.Harvin punts 34 yards to BLT 19, Center-C.Kuntz, fair catch by T.Wallace.",0.0
1.0,401547639.0,401547639221,Official Timeout,1.0,0.0,697.0,1.0,Timeout at 11:37.,0.0
2.0,401547639.0,401547639228,Rush,1.0,0.0,697.0,1.0,(Shotgun) T.Huntley scrambles left end to BLT 21 for 2 yards (E.Rowe).,2.0
3.0,401547639.0,401547639250,Pass Reception,1.0,0.0,662.0,2.0,(Shotgun) T.Huntley pass short right to C.Kolar to BLT 26 for 5 yards (E.Rowe).,5.0
4.0,401547639.0,401547639275,Pass Incompletion,1.0,0.0,626.0,3.0,(Shotgun) T.Huntley pass incomplete short right to J.Hill.,0.0
1.0,401547639.0,401547639298,Punt,1.0,0.0,620.0,4.0,"J.Stout punts 64 yards to PIT 10, Center-T.Ott. C.Austin to PIT 24 for 14 yards (T.Simpson).",14.0
1.0,401547639.0,401547639311,Official Timeout,1.0,0.0,608.0,1.0,Timeout at 10:08.,0.0
2.0,401547639.0,401547639324,Rush,1.0,0.0,608.0,1.0,"(Shotgun) N.Harris up the middle to PIT 29 for 5 yards (M.Williams, T.Robinson).",5.0
3.0,401547639.0,401547639353,Rush,1.0,0.0,574.0,2.0,"N.Harris right guard to PIT 33 for 4 yards (P.Queen, D.Phillips).",4.0
1.0,401547639.0,401547639375,Rush,1.0,0.0,534.0,3.0,N.Harris up the middle to PIT 34 for 1 yard (D.Phillips).,1.0
1.0,401547639.0,401547639397,Rush,1.0,0.0,490.0,1.0,(Shotgun) J.Warren left end to BLT 43 for 23 yards (D.Phillips).,23.0
2.0,401547639.0,401547639426,Rush,1.0,0.0,445.0,1.0,C.Austin left end to BLT 35 for 8 yards (B.Stephens).,8.0
1.0,401547639.0,401547639448,Pass Reception,1.0,0.0,409.0,2.0,M.Rudolph pass short right to Co.Heyward to BLT 33 for 2 yards (J.Madubuike).,2.0
2.0,401547639.0,401547639473,Rush,1.0,0.0,367.0,1.0,J.Warren left guard to BLT 28 for 5 yards (A.Maulet).,5.0
1.0,401547639.0,401547639495,Pass Reception,1.0,0.0,326.0,2.0,(Shotgun) M.Rudolph pass short left to D.Johnson pushed ob at BLT 23 for 5 yards (B.Stephens).,5.0
2.0,401547639.0,401547639525,Rush,1.0,0.0,287.0,1.0,"(Shotgun) N.Harris up the middle to BLT 14 for 9 yards (T.Jones, M.Williams).",9.0
1.0,401547639.0,401547639547,Pass Reception,1.0,0.0,250.0,2.0,"(Shotgun) M.Rudolph pass short left to N.Harris to BLT 8 for 6 yards (D.Phillips, T.Jones).",6.0
2.0,401547639.0,401547639569,Rush,1.0,0.0,206.0,1.0,N.Harris right guard to BLT 6 for 2 yards (M.Pierce; T.Robinson).,2.0
1.0,401547639.0,401547639628,Official Timeout,1.0,0.0,156.0,1.0,Timeout at 02:36.,0.0
-1.0,401547639.0,401547639591,Rushing Touchdown,1.0,6.0,156.0,2.0,"(Shotgun) N.Harris up the middle for 6 yards, TOUCHDOWN.C.Boswell extra point is GOOD, Center-C.Kuntz, Holder-P.Harvin.",6.0
1.0,401547639.0,401547639636,Kickoff,1.0,0.0,156.0,0.0,"C.Boswell kicks 65 yards from PIT 35 to end zone, Touchback.",0.0
2.0,401547639.0,401547639660,Rush,1.0,0.0,156.0,1.0,"M.Gordon right end to BLT 28 for 3 yards (T.Watt, M.Robinson).",3.0
3.0,401547639.0,401547639682,Pass Incompletion,1.0,0.0,117.0,2.0,(Shotgun) T.Huntley pass incomplete short middle to C.Kolar.,0.0
4.0,401547639.0,401547639705,Pass Incompletion,1.0,0.0,114.0,3.0,(Shotgun) T.Huntley pass incomplete short right to J.Hill.,0.0
