end_down,game_id,play_id,play_type,quarter,score_value,seconds_remaining,start_down,text,yards
0.0,401326569.0,4013265691,Coin Toss,0.0,0.0,900.0,0.0,GAME,0.0
1.0,401326569.0,40132656942,Kickoff,1.0,0.0,900.0,0.0,"T.Bass kicks 65 yards from BUF 35 to end zone, Touchback. Kick through end zone.",0.0
3.0,401326569.0,40132656961,Pass Reception,1.0,0.0,900.0,1.0,(15:00) M.Ryan pass short left to K.Pitts to ATL 33 for 8 yards (M.Milano).,8.0
1.0,401326569.0,40132656985,Rush,1.0,0.0,855.0,2.0,"(14:15) C.Patterson left guard to ATL 35 for 2 yards (T.Edmunds, J.Poyer).",2.0
1.0,401326569.0,401326569106,Pass Reception,1.0,0.0,814.0,1.0,(13:34) (Shotgun) M.Ryan pass short left to C.Patterson to 50 for 15 yards (M.Milano).,15.0
2.0,401326569.0,401326569130,Rush,1.0,0.0,767.0,1.0,(12:47) Q.Ollison right tackle to BUF 46 for 4 yards (T.Johnson).,4.0
3.0,401326569.0,401326569151,Pass Reception,1.0,0.0,727.0,2.0,(12:07) M.Ryan pass short right to O.Zaccheaus pushed ob at BUF 46 for no gain (M.Hyde).,0.0
4.0,401326569.0,401326569175,Pass Incompletion,1.0,0.0,684.0,3.0,(11:24) (Shotgun) M.Ryan pass incomplete deep right to K.Pitts (D.Jackson) [E.Obada].,0.0
-1.0,401326569.0,401326569203,Safety,1.0,2.0,664.0,4.0,Jake Kumerow tackled in end zone for a Safety,0.0
-1.0,401326569.0,401326569244,Kickoff Return (Offense),1.0,0.0,664.0,0.0,"M.Haack kicks 53 yards from BUF 20 to ATL 27. A.Williams MUFFS catch, and recovers at ATL 26. A.Williams to ATL 28 for 2 yards (S.Neal). PENALTY on BUF-T.Jones, Offside on Free Kick, 5 yards, enforced at ATL 28.",2.0
1.0,401326569.0,401326569294,Rush,1.0,0.0,658.0,1.0,"(10:58) M.Davis left tackle to ATL 36 for 3 yards (L.Wallace, T.Edmunds).",3.0
2.0,401326569.0,401326569315,Pass Incompletion,1.0,0.0,618.0,2.0,(10:18) (Shotgun) M.Ryan pass incomplete deep left to R.Gage [H.Phillips].,0.0
3.0,401326569.0,401326569337,Sack,1.0,0.0,611.0,3.0,(10:11) (Shotgun) M.Ryan sacked at ATL 29 for -7 yards (T.Johnson).,-7.0
1.0,401326569.0,401326569356,Punt,1.0,0.0,565.0,4.0,"(9:33) T.Morstead punts 40 yards to BUF 31, Center-J.Harris, out of bounds.",0.0
2.0,401326569.0,401326569374,Pass Reception,1.0,0.0,565.0,1.0,(9:25) (Shotgun) J.Allen pass short right to C.Beasley to BUF 44 for 13 yards (D.Jones).,13.0
1.0,401326569.0,401326569404,Pass Reception,1.0,0.0,527.0,1.0,"(8:47) (Shotgun) J.Allen pass short right to G.Davis to ATL 41 for 15 yards (F.Oluokun, S.Williams).",15.0
3.0,401326569.0,401326569428,Pass Incompletion,1.0,0.0,481.0,1.0,(8:01) (Shotgun) J.Allen pass incomplete short right to D.Singletary. Pressure on QB: 92-A.Ogundeji.,0.0
1.0,401326569.0,401326569454,Pass Reception,1.0,0.0,475.0,2.0,(7:56) (Shotgun) J.Allen pass short right to S.Diggs pushed ob at ATL 30 for 11 yards (A.Terrell).,11.0
2.0,401326569.0,401326569483,Pass Incompletion,1.0,0.0,439.0,1.0,(7:20) (Shotgun) J.Allen pass incomplete short right to D.Knox.,0.0
1.0,401326569.0,401326569509,Pass Incompletion,1.0,0.0,434.0,2.0,(7:14) (Shotgun) J.Allen pass incomplete short middle to C.Beasley.,0.0
1.0,401326569.0,401326569532,Pass Reception,1.0,0.0,430.0,3.0,(7:10) (Shotgun) J.Allen pass short left to G.Davis to ATL 15 for 15 yards (S.Williams).,15.0
1.0,401326569.0,401326569556,Rush,1.0,0.0,390.0,1.0,(6:30) (Shotgun) J.Allen scrambles right end pushed ob at ATL 9 for 6 yards (F.Oluokun).,6.0
2.0,401326569.0,401326569582,Rush,1.0,0.0,354.0,2.0,(5:54) (Shotgun) D.Singletary right tackle to ATL 9 for no gain (D.Fowler).,0.0
3.0,401326569.0,401326569603,Pass Reception,1.0,0.0,317.0,3.0,(5:17) (Shotgun) J.Allen pass short right to S.Diggs to ATL 4 for 5 yards (A.Terrell).,5.0
3.0,401326569.0,401326569632,Pass Incompletion,1.0,0.0,271.0,1.0,"(4:31) (Shotgun) J.Allen pass incomplete short right to D.Knox. PENALTY on BUF-S.Brown, Ineligible Downfield Pass, 5 yards, enforced at ATL 4 - No Play.",-5.0
4.0,401326569.0,401326569654,Pass Reception,1.0,0.0,267.0,1.0,(4:27) (Shotgun) J.Allen pass short left to I.McKenzie to ATL 3 for 6 yards (D.Jones).,6.0
4.0,401326569.0,401326569690,Pass Incompletion,1.0,0.0,219.0,2.0,(3:39) J.Allen pass incomplete short right to S.Diggs (D.Harmon) [D.Fowler].,0.0
4.0,401326569.0,401326569712,Pass Incompletion,1.0,0.0,212.0,3.0,(3:33) (Shotgun) J.Allen pass incomplete short left to S.Diggs.,0.0
4.0,401326569.0,401326569734,Pass Incompletion,1.0,0.0,209.0,4.0,"(3:29) (Shotgun) J.Allen pass incomplete short right to S.Diggs. PENALTY on ATL-A.Terrell, Defensive Pass Interference, 2 yards, enforced at ATL 3 - No Play.",2.0
4.0,401326569.0,401326569767,Pass Incompletion,1.0,0.0,205.0,1.0,(3:25) D.Dawkins reported in as eligible.  J.Allen pass incomplete short left to D.Dawkins.,0.0
-1.0,401326569.0,401326569789,Rushing Touchdown,1.0,6.0,195.0,2.0,"Josh Allen 1 Yard Rush T.Bass extra point is GOOD, Center-R.Ferguson, Holder-M.Haack.",1.0
1.0,401326569.0,401326569827,Kickoff,1.0,0.0,195.0,0.0,"T.Bass kicks 65 yards from BUF 35 to end zone, Touchback. Kick through end zone.",0.0
3.0,401326569.0,401326569852,Rush,1.0,0.0,195.0,1.0,(3:15) M.Davis left tackle to ATL 25 for no gain (E.Oliver; H.Phillips).,0.0
1.0,401326569.0,401326569873,Sack,1.0,0.0,147.0,2.0,"(2:35) (Shotgun) M.Ryan sacked at ATL 18 for -7 yards (G.Rousseau). FUMBLES (G.Rousseau) [G.Rousseau], RECOVERED by BUF-H.Phillips at ATL 18.",0.0
1.0,401326569.0,401326569908,Pass Incompletion,1.0,0.0,147.0,1.0,(2:27) (Shotgun) J.Allen pass incomplete short left to C.Beasley.,0.0
1.0,401326569.0,401326569930,Pass Incompletion,1.0,0.0,141.0,2.0,"(2:21) J.Allen pass incomplete short right [N.Thurman]. Thrown away, under pressure.",0.0
2.0,401326569.0,401326569956,Pass Reception,1.0,0.0,135.0,3.0,"(2:15) (Shotgun) J.Allen pass incomplete short left to G.Davis. Buffalo challenged the incomplete pass ruling, and the play was REVERSED. (Shotgun) J.Allen pass short left to G.Davis ran ob at ATL 8 for 10 yards.",10.0
1.0,401326569.0,401326569996,Rush,1.0,0.0,123.0,1.0,"(2:03) (Shotgun) D.Singletary left end to ATL 7 for 1 yard (D.Jones, F.Oluokun).",1.0
1.0,401326569.0,4013265691059,Rush,1.0,0.0,80.0,2.0,(1:20) (Shotgun) T.Doyle reported in as eligible.  I.McKenzie right tackle to ATL 4 for 3 yards (F.Oluokun; D.Harmon).,3.0
-1.0,401326569.0,4013265691082,Rushing Touchdown,1.0,6.0,35.0,3.0,"Josh Allen 4 Yard Rush T.Bass extra point is GOOD, Center-R.Ferguson, Holder-M.Haack.",4.0
1.0,401326569.0,4013265691120,Kickoff,1.0,0.0,35.0,0.0,"T.Bass kicks 65 yards from BUF 35 to end zone, Touchback. Kick through end zone.",0.0
2.0,401326569.0,4013265691139,Pass Reception,1.0,0.0,35.0,1.0,(:35) M.Ryan pass short left to C.Patterson pushed ob at ATL 34 for 9 yards (E.Ankou; L.Wallace).,9.0
2.0,401326569.0,4013265691169,End Period,1.0,0.0,0.0,2.0,END QUARTER 1,0.0
3.0,401326569.0,4013265691188,Rush,2.0,0.0,900.0,2.0,(15:00) Q.Ollison left guard to ATL 38 for 4 yards (T.Edmunds).,4.0
2.0,401326569.0,4013265691214,Rush,2.0,0.0,866.0,1.0,(14:26) C.Patterson left end to ATL 42 for 4 yards (G.Rousseau).,4.0
2.0,401326569.0,4013265691236,Penalty,2.0,0.0,828.0,2.0,"(13:48) PENALTY on BUF-E.Ankou, Neutral Zone Infraction, 5 yards, enforced at ATL 42 - No Play.",5.0
4.0,401326569.0,4013265691259,Pass Reception,2.0,0.0,807.0,2.0,(13:27) M.Ryan pass short right to P.Hesse to BUF 43 for 10 yards (T.Edmunds).,10.0
1.0,401326569.0,4013265691283,Rush,2.0,0.0,761.0,1.0,"(12:41) M.Davis left end to BUF 30 for 13 yards (M.Milano, L.Wallace).",13.0
1.0,401326569.0,4013265691304,Pass Incompletion,2.0,0.0,732.0,1.0,(12:12) (No Huddle) M.Ryan pass incomplete short middle to K.Pitts.,0.0
1.0,401326569.0,4013265691326,Pass Reception,2.0,0.0,727.0,2.0,"(12:08) (Shotgun) M.Ryan pass short right to C.Patterson pushed ob at BUF 28 for 2 yards (T.Johnson). PENALTY on BUF-E.Oliver, Roughing the Passer, 15 yards, enforced at BUF 30 - No Play. Penalty on ATL-J.Mayfield, Ineligible Downfield Pass, superseded. Penalty against ATL negated by rule.",-15.0
3.0,401326569.0,4013265691377,Rush,2.0,0.0,700.0,1.0,"(11:42) C.Patterson left end to BUF 6 for 9 yards (E.Oliver, M.Milano).",9.0
1.0,401326569.0,4013265691398,Rush,2.0,0.0,660.0,2.0,(11:00) (Shotgun) C.Patterson left end to BUF 10 for -4 yards (A.Epenesa).,-4.0
1.0,401326569.0,4013265691424,Pass Incompletion,2.0,0.0,618.0,3.0,"(10:18) (Shotgun) M.Ryan pass incomplete short left [H.Phillips]. Thrown away, under pressure.",0.0
-1.0,401326569.0,4013265691450,Field Goal Good,2.0,3.0,608.0,4.0,Younghoe Koo 28 Yd Field Goal ,28.0
-1.0,401326569.0,4013265691469,Kickoff Return (Offense),2.0,0.0,608.0,0.0,Y.Koo kicks 65 yards from ATL 35 to BUF 0. M.Stevenson to BUF 23 for 23 yards (M.Walker).,23.0
2.0,401326569.0,4013265691491,Rush,2.0,0.0,600.0,1.0,"(10:00) D.Singletary right guard to BUF 26 for 3 yards (N.Thurman, M.Pennel).",3.0
1.0,401326569.0,4013265691512,Pass Incompletion,2.0,0.0,565.0,2.0,(9:25) (Shotgun) J.Allen pass incomplete deep right to D.Knox.,0.0
1.0,401326569.0,4013265691534,Pass Reception,2.0,0.0,560.0,3.0,(9:20) (Shotgun) J.Allen pass short right to S.Diggs to BUF 39 for 13 yards (M.Walker).,13.0
1.0,401326569.0,4013265691558,Pass Incompletion,2.0,0.0,516.0,1.0,(8:36) (Shotgun) J.Allen pass incomplete short right. Thrown at feet of closest receiver.,0.0
1.0,401326569.0,4013265691580,Rush,2.0,0.0,511.0,2.0,"(8:31) (Shotgun) D.Singletary up the middle to ATL 41 for 20 yards (D.Harmon, D.Jones).",20.0
2.0,401326569.0,4013265691605,Rush,2.0,0.0,470.0,1.0,(7:50) (Shotgun) D.Singletary right end pushed ob at ATL 40 for 1 yard (A.Terrell).,1.0
1.0,401326569.0,4013265691631,Rush,2.0,0.0,438.0,2.0,(7:18) J.Allen scrambles right tackle to ATL 24 for 16 yards (A.Terrell).,16.0
1.0,401326569.0,4013265691652,Rush,2.0,0.0,392.0,1.0,(6:32) (Shotgun) J.Allen right tackle to ATL 18 for 6 yards (S.Williams; A.Rush).,6.0
