game_id,home_team_id,away_team_id
330105009,9,16
330105034,34,4
330106028,28,26
330106033,33,11
330112007,7,33
330112025,25,9
330113001,1,26
330113017,17,34
330120001,1,25
330120017,17,33
330127032,32,31
330203025,25,33
330905007,7,33
330908002,2,17
330908003,3,4
330908005,5,15
330908006,6,19
330908008,8,16
330908011,11,13
330908014,14,22
330908018,18,1
330908020,20,27
330908023,23,10
330908025,25,9
330908029,29,26
330908030,30,12
330909024,24,34
330909028,28,21
330912017,17,20
330915001,1,14
330915002,2,29
330915003,3,16
330915009,9,28
330915011,11,15
330915012,12,6
330915013,13,30
330915019,19,7
330915021,21,24
330915022,22,8
330915026,26,25
330915027,27,18
330915033,33,5
330915034,34,10
330916004,4,23
330919021,21,12
330922004,4,9
330922006,6,14
330922010,10,24
330922015,15,1
330922016,16,5
330922017,17,27
330922018,18,22
330922020,20,2
330922023,23,3
330922025,25,11
330922026,26,30
330922028,28,8
330922029,29,19
330922033,33,34
330923007,7,13
330926014,14,25
330929001,1,17
330929002,2,33
330929005,5,4
330929007,7,21
330929008,8,3
330929010,10,20
330929012,12,19
330929013,13,28
330929016,16,23
330929024,24,6
330929027,27,22
330929030,30,11
330929034,34,26
330930018,18,15
331003005,5,2
331006003,3,18
331006004,4,17
331006006,6,7
331006009,9,8
331006010,10,12
331006011,11,26
331006013,13,24
331006014,14,30
331006015,15,33
331006019,19,21
331006022,22,29
331006025,25,34
331007001,1,20
331010003,3,19
331013002,2,4
331013005,5,8
331013006,6,28
331013007,7,30
331013012,12,13
331013016,16,29
331013017,17,18
331013020,20,23
331013025,25,22
331013026,26,10
331013027,27,21
331013033,33,9
331013034,34,14
331014024,24,11
331017022,22,26
331020001,1,27
331020008,8,4
331020009,9,5
331020010,10,25
331020011,11,7
331020012,12,34
331020015,15,2
331020020,20,17
331020021,21,6
331020023,23,33
331020028,28,3
331020029,29,14
331020030,30,24
331021019,19,16
331024027,27,29
331027004,4,20
331027007,7,28
331027008,8,6
331027012,12,5
331027013,13,23
331027016,16,9
331027017,17,15
331027018,18,2
331027021,21,19
331027022,22,1
331027030,30,25
331028014,14,26
331031015,15,4
331103002,2,12
331103005,5,33
331103006,6,16
331103013,13,21
331103014,14,10
331103017,17,23
331103020,20,18
331103026,26,27
331103028,28,24
331103029,29,1
331103034,34,11
331104009,9,3
331107016,16,28
331110001,1,26
331110003,3,8
331110009,9,21
331110010,10,30
331110011,11,14
331110018,18,6
331110019,19,13
331110022,22,34
331110023,23,2
331110024,24,7
331110025,25,29
331110033,33,4
331111027,27,15
331114010,10,11
331117002,2,20
331117003,3,33
331117004,4,5
331117007,7,12
331117015,15,24
331117018,18,25
331117019,19,9
331117021,21,28
331117023,23,8
331117026,26,16
331117027,27,1
331117030,30,22
331117034,34,13
331118029,29,17
331121001,1,18
331124005,5,23
331124008,8,27
331124009,9,16
331124012,12,24
331124013,13,10
331124014,14,3
331124015,15,29
331124017,17,7
331124019,19,6
331124022,22,11
331124033,33,20
331124034,34,30
331125028,28,25
331128006,6,13
331128008,8,9
331128033,33,23
331201002,2,1
331201005,5,30
331201011,11,10
331201012,12,7
331201016,16,3
331201020,20,15
331201021,21,22
331201024,24,4
331201025,25,14
331201028,28,19
331201029,29,27
331201034,34,17
331202026,26,18
331205030,30,34
331208004,4,11
331208007,7,10
331208009,9,1
331208017,17,5
331208018,18,29
331208020,20,13
331208021,21,8
331208022,22,14
331208023,23,15
331208024,24,19
331208025,25,26
331208027,27,2
331208028,28,12
331208033,33,16
331209003,3,6
331212007,7,24
331215001,1,28
331215005,5,3
331215006,6,9
331215010,10,22
331215011,11,34
331215013,13,12
331215014,14,18
331215015,15,17
331215016,16,21
331215019,19,26
331215023,23,4
331215027,27,25
331215029,29,20
331215030,30,2
331216008,8,33
331222002,2,15
331222004,4,16
331222008,8,19
331222009,9,23
331222012,12,11
331222014,14,27
331222020,20,5
331222021,21,3
331222024,24,13
331222026,26,22
331222028,28,6
331222029,29,18
331222030,30,10
331222033,33,17
331222034,34,7
331223025,25,1
331229001,1,29
331229003,3,9
331229004,4,33
331229006,6,21
331229010,10,34
331229011,11,30
331229013,13,7
331229015,15,20
331229016,16,8
331229017,17,2
331229018,18,27
331229019,19,28
331229022,22,25
331229023,23,5
331229024,24,12
331229026,26,14
340104011,11,12
340104021,21,18
340105004,4,24
340105009,9,25
340111017,17,11
340111026,26,18
340112007,7,24
340112029,29,25
340119007,7,17
340119026,26,25
340126035,35,36
340202007,7,26
400554194,1,27
400554195,2,24
400554196,33,23
400554197,9,16
400554198,2,15
400554199,14,6
400554200,29,3
400554201,28,19
400554202,28,30
